GEOID,x,y,area,population,p_public_transportation_commute,p_walk_commute,mean_commute_time,p_bachelors_degree_or_higher,unemployment_rate,p_GRAPI<15%,p_GRAPI>35%,p_without_health_insurance,p_nonfamily_household,p_vacant_housing_units,p_renter_occupied,median_household_income,p_SNAP_benefits,p_below_poverty_line,p_white,p_age_students,median_age,p_mobile_homes,p_without_person_vehicle,p_veterans,2000,2004,2008,2012,2016
13005970202,839781.2577696344,-998451.3973891806,195.89071647313392,4089,0.0,1.8,17.6,8.6,6.4,17.3,35.9,19.7,26.2,20.0,34.2,32139,26.7,26.6,76.6,12.3,35.4,36.8,7.5,10.1,0.6776803776129467,0.7541633624107851,0.7908346134152586,0.7963439752832132,0.8469284994964753
13007960100,661778.5361530645,-1020431.9929820873,486.8377879940824,1991,0.0,1.8,24.9,13.0,0.6,24.7,43.1,13.0,41.0,31.3,38.6,31481,14.4,28.1,48.4,8.8,43.4,39.4,9.1,6.4,0.4078249336870027,0.46727376209447924,0.4946236559139785,0.4971500949968335,0.543859649122807
13007960200,644508.0218579494,-1024980.2741157588,421.4265448857052,1198,0.0,2.3,31.7,11.1,9.8,38.0,34.2,15.5,39.0,18.6,22.7,42292,5.4,10.1,70.6,13.0,53.7,37.0,7.3,6.8,0.4078249336870027,0.46727376209447924,0.4946236559139785,0.4971500949968335,0.543859649122807
13009970100,770987.9433863839,-824904.6213571345,225.77829153133465,5870,0.0,0.7,25.6,16.7,1.8,4.5,82.8,13.6,27.4,19.7,20.7,55858,11.5,13.7,59.8,13.2,39.7,32.2,5.8,9.5,0.5062007709066533,0.5322424744545706,0.4767215112736136,0.47218765555002484,0.49128741941660814
13009970200,761373.9308341614,-817298.3678134915,36.51400516537823,6763,0.0,2.1,25.5,29.9,8.9,34.5,40.5,8.9,32.0,20.0,47.8,50040,13.8,26.3,58.9,25.7,38.3,17.0,4.6,6.5,0.5062007709066533,0.5322424744545706,0.4767215112736136,0.47218765555002484,0.49128741941660814
13009970300,755670.4429146522,-817248.1714406636,59.82181020571436,6151,0.0,0.9,22.8,37.3,11.3,3.9,33.1,3.4,34.1,23.0,33.5,61250,7.5,3.9,50.0,30.2,40.6,9.4,3.0,8.3,0.5062007709066533,0.5322424744545706,0.4767215112736136,0.47218765555002484,0.49128741941660814
13009970400,761342.134194705,-822350.3364219075,6.570817753381471,4482,0.1,1.2,14.3,23.8,10.8,8.9,47.3,7.4,59.1,15.2,54.8,34306,10.0,37.7,49.7,61.4,31.4,1.0,11.4,7.0,0.5062007709066533,0.5322424744545706,0.4767215112736136,0.47218765555002484,0.49128741941660814
13009970500,751145.3144102808,-821959.8393161484,141.53409962137485,6385,1.7,8.0,20.4,19.1,17.9,8.5,81.6,11.5,60.0,23.5,65.3,17870,17.2,50.8,67.5,84.9,21.5,11.0,6.8,3.9,0.5062007709066533,0.5322424744545706,0.4767215112736136,0.47218765555002484,0.49128741941660814
13009970600,760862.8271213433,-827254.2925499708,14.479054596514395,3662,0.9,6.2,23.2,11.1,8.7,8.0,39.7,17.4,58.1,22.4,51.9,24543,24.6,36.6,34.4,37.7,36.1,30.8,14.3,4.8,0.5062007709066533,0.5322424744545706,0.4767215112736136,0.47218765555002484,0.49128741941660814
13009970701,763311.0159617249,-826295.8058876534,4.676594407836682,2515,0.4,5.9,20.9,8.5,11.4,10.4,47.2,19.6,44.1,35.8,72.3,26591,35.1,33.0,44.1,47.7,30.0,18.3,20.1,5.1,0.5062007709066533,0.5322424744545706,0.4767215112736136,0.47218765555002484,0.49128741941660814
