,id,proper,dist,ra_2000,dec_2000,pmra,pmdec,ra_2020,dec_2020
29,24129,Kapteyn's Star,12.7589868,77.91253499999999,-45.018417,0.0018072360364974021,-0.0015920527120481466,77.94867972072994,-45.05025805424096
30,24378,Rigel,862.9630786,78.63447,-8.20164,5.194444229986154e-07,-1.555555491332752e-07,78.63448038888845,-8.201643111110982
31,24549,Capella,42.8085308,79.17225,45.997991,2.0977776911687398e-05,-0.00011864721732374254,79.17266955553823,45.99561805565352
32,25273,Bellatrix,252.47684280000001,81.282765,6.349702,-2.4305554552074248e-06,-3.688888736589097e-06,81.28271638889089,6.349628222225268
33,25364,Alnath,133.9080358,81.57297,28.60745,6.466666399683298e-06,-4.839444244642715e-05,81.57309933332799,28.60648211115107
34,25542,Nihal,160.3736204,82.06134,-20.759441,-1.3972221645363824e-06,-2.3866665681305365e-05,82.06131205555671,-20.759918333313625
35,25865,Mintaka,692.5689204,83.001675,-0.299092,4.6388886973673134e-07,1.555555491332752e-07,83.0016842777774,-0.29908888888901736
36,25920,Arneb,2219.0475902000003,83.18256000000001,-17.822289,9.083332958318033e-07,4.277777601165068e-07,83.18257816666592,-17.8222804444448
37,26176,Hatsya,2329.9999534,83.85826499999999,-5.909901,6.305555295223833e-07,-1.7222221511184038e-07,83.85827761111058,-5.909904444444302
38,26246,Alnilam,1976.9696772,84.05338499999999,-1.20192,4.138888718010357e-07,-2.944444322879852e-07,84.05339327777743,-1.201925888888646
39,26569,Phakt,261.3781884,84.912255,-34.074108,-2.7777776630942e-08,-6.680555279741551e-06,84.91225444444447,-34.0742416111056
40,26662,Alnitak,736.3430032,85.189695,-1.942572,1.1083332875745858e-06,7.055555264259267e-07,85.18971716666576,-1.9425578888894715
41,27298,Saiph,647.2222274,86.939115,-9.669605,4.3055553777960094e-07,-3.3333331957130393e-07,86.93912361111076,-9.669611666666393
42,27919,Betelgeuse,498.0154116,88.792935,7.407063,7.5916663532364475e-06,3.016666542120301e-06,88.79308683332707,7.407123333330842
43,28288,Menkalinan,81.1239828,89.88223500000001,44.947433,-1.5669443797514382e-05,-2.4444443435228955e-07,89.88192161112406,44.94742811111131
44,30016,Red Rectangle,1437.0042932,94.99257,-10.637414,-3.0499998740774313e-06,-5.861110869128763e-06,94.99250900000251,-10.637531222217381
45,30251,Mirzam,492.7492388,95.674935,-17.955918,-9.58333293767499e-07,-1.305555501654274e-07,95.67491583333413,-17.955920611111004
46,30365,Canopus,309.19421539999996,95.98792499999999,-52.69566,5.552777548525305e-06,6.574999728543972e-06,95.98803605555096,-52.69552850000542
47,31601,Alhena,109.31647019999998,99.42792,16.399252,-5.666666432712167e-07,-1.8588888121426386e-05,99.42790866666714,16.398880222237572
48,32263,Sirius,8.602220200000001,101.287215,-16.716116,-0.0001516694381826064,-0.00033974443041772534,101.28418161123635,-16.722910888608354
49,33492,Adhara,405.21738320000003,104.656455,-28.972084,7.305555253937746e-07,6.361110848485718e-07,104.6564696111105,-28.9720712777783
50,34354,Wezen,1606.8964296,107.097855,-26.3932,-7.638888573509049e-07,9.249999618103686e-07,107.09783972222284,-26.393181500000765
51,35806,Aludra,1989.0243981999997,111.02376,-29.303104,-1.0444444013234191e-06,1.8499999236207372e-06,111.02373911111196,-29.30306700000153
52,36087,Gomeisa,161.7253932,111.78768,8.289315,-1.3966666090037637e-05,-1.06805551145972e-05,111.7874006666782,8.289101388897707
53,36107,Luyten's Star,12.4040812,111.852075,5.225785,0.00015868610455958235,-0.0010261805131885748,111.85524872209119,5.205261389736228
54,36744,Castor,50.8734996,113.64951,31.888276,-5.731388652262263e-05,-4.116110941172986e-05,113.64836372226955,31.887452777811767
