start,end,street_name,delay8pm,delay5pm
42516358,42516362,SchenectadyAvenue,13.560306801801806,14.65670745283019
471241911,42724759,MajorDeeganExpressway,3.23896776870748,3.7076940759024977
103186444,103182286,PalisadeAvenue,10.879582121212126,4.727173421052633
42467168,42468373,LivoniaAvenue,8.32315,13.483471666666667
42910244,42888768,50thAvenue,13.959163636363632,14.943014210526318
42467167,42468372,DumontAvenue,11.927828333333332,13.648663333333333
42516172,42522063,JeffersonAvenue,22.820043558282215,23.293791935483863
42860724,42850906,89thAvenue,18.64114777777778,15.216923076923074
42467162,42468368,SutterAvenue,13.34849142857143,21.522100000000005
103088516,103072041,CrossBronxExpressway,46.71124285714286,74.44553333333333
42762606,42746694,BostonRoad,9.96204,20.961175
42467159,42468366,PitkinAvenue,9.576935,16.596600000000002
42467157,42468365,GlenmoreAvenue,12.71491875,15.736741666666667
103137207,103135400,RiverRoad,4.940317142857142,5.695181333333333
42467155,42468359,LibertyAvenue,11.294769166666667,12.869888333333334
103868835,60007644,MarinBoulevard,20.590435925925917,14.49840806451613
103235739,103226492,PalisadeAvenue,6.235797666666667,5.2328925
42516533,42510338,MyrtleAvenue,15.417970973154368,17.586600712401054
42467150,42468342,ArlingtonAvenue,5.784086285714285,15.263733333333334
42862775,42786722,58thStreet,59.79728506493507,86.3519081031308
1064257394,42879004,AstoriaBoulevard,8.58940608247423,10.284240363636364
42467143,42468342,JamaicaAvenue,8.226972394366195,15.168551612903226
42465438,42521178,41stStreet,31.3203,50.32333333333333
276299179,276314230,QueensBoulevard,18.69597239429034,24.68747195482866
42466982,42473297,DecaturStreet,41.971806508875744,50.150667058823544
103137133,103137132,RiverRoad,6.558238,8.608805714285714
42517021,42494845,MyrtleAvenue,24.87217330000001,30.323853598382744
103137132,103137133,RiverRoad,8.879227333333334,12.012674230769234
42465434,42521168,39thStreet,44.23471599999999,33.35695
42466978,42473293,MaconStreet,37.8904240101523,55.478419480519484
42464945,42536300,CambridgePlace,42.09745777777778,35.89703023255814
42809660,42860161,WoodhavenBoulevard,8.509009537172007,13.670269914110424
42860869,42845545,84thStreet,12.57095,14.19075
42466977,42473289,HalseyStreet,41.373914485981324,49.52009130434783
42516672,42505581,ChaunceyStreet,21.758112727272728,26.588978571428573
42467172,42467180,MillerAvenue,34.07327875000001,37.43615555555556
42466974,42473278,JeffersonAvenue,46.435023383084584,54.27588378378378
42517600,42476725,MonroePlace,32.26677125506074,26.678248926829266
42516669,42505576,RockawayAvenue,6.921025161290322,8.18231375
42810985,42818943,64thPlace,20.909348888888886,29.037975
42467023,42471722,ParkAvenue,10.95172432880845,12.954554833333331
42810985,42818938,64thPlace,36.5958,29.4577
42860864,42845543,80thStreet,8.420737199999998,10.209270357142858
42517622,42475998,MorrisAvenue,12.448175036496352,16.152022908366533
42465427,42521159,36thStreet,40.2708104,58.264809090909075
42860531,42855824,11thStreet,11.641721813278012,15.235114814174585
42467168,42467172,MillerAvenue,14.090857500000002,26.473066666666668
