,name,lon,lat,x,y
550,42454600,-74.008126,40.704671999999995,-8238546.900884431,4968877.960191293
551,42454553,-73.915183,40.869551,-8228200.533451633,4993119.465175351
552,42454538,-73.918564,40.871479,-8228576.904650004,4993403.287880727
553,42454522,-73.98452900000002,40.742708,-8235920.094860182,4974464.905497394
554,42454433,-73.9949814,40.7603,-8237083.650705747,4977049.9996308535
555,42454428,-73.980395,40.754155,-8235459.900085242,4976146.931707623
556,42454423,-74.00089799999998,40.725773,-8237742.283604976,4971977.001471731
557,42454401,-74.01100000000002,40.713328999999995,-8238866.833100973,4970149.269284049
558,42454381,-74.00596,40.745231,-8238305.782867372,4974835.611131355
559,42454378,-73.991375,40.739088,-8236682.188094152,4973933.0416739965
560,42454368,-73.931917,40.84930900000001,-8230063.3538105665,4990140.119882466
561,42454325,-74.00697,40.74162800000001,-8238418.215553072,4974306.224862947
562,42454313,-73.93219959999998,40.8595212,-8230094.812698662,4991643.102121682
563,42454300,-73.933681,40.856783,-8230259.721392326,4991240.084347033
564,42454240,-73.935716,40.852339,-8230486.256556089,4990586.036466793
565,42454214,-73.975225,40.7386606,-8234884.378317839,4973870.2483915575
566,42454196,-73.948881,40.7775516,-8231951.777652383,4979585.737475769
567,42454192,-73.9565682,40.7807974,-8232807.51284201,4980062.897132963
568,42454189,-73.95992159999999,40.782213299999995,-8233180.811622432,4980271.0535401385
569,42454120,-73.98977590000001,40.77379060000001,-8236504.177096425,4979032.868281568
570,42454102,-73.93060200000002,40.851109,-8229916.968680172,4990405.018364884
571,42454042,-73.9913292,40.7653085,-8236677.0896614725,4977786.109504619
572,42454010,-73.97167900000002,40.746297,-8234489.639403488,4974992.243263124
573,42454006,-73.97319300000002,40.746941,-8234658.17711255,4975086.870270349
574,42453999,-73.975422,40.747882000000004,-8234906.308257528,4975225.139020254
575,42453952,-74.009668,40.712725,-8238718.555539235,4970060.564522025
576,42453943,-74.010153,40.712064,-8238772.545492269,4969963.489537402
577,42453934,-74.010801,40.711017,-8238844.680522302,4969809.728258545
578,42453777,-74.00484499999997,40.718853,-8238181.661635136,4970960.573351865
579,42453757,-73.95209870000002,40.8221718,-8232309.970377909,4986147.323142036
580,42453717,-73.957829,40.815156,-8232947.864456003,4985115.328309448
581,42453714,-73.938077,40.794588,-8230749.081873854,4982090.490334176
582,42453709,-73.940487,40.795636,-8231017.361846665,4982244.59204937
583,42453700,-73.9921352,40.714420399999995,-8236766.813171052,4970309.5567176435
584,42453691,-73.99486,40.714223,-8237070.136519567,4970280.56555783
585,42453674,-73.972553,40.764897999999995,-8234586.932638442,4977725.775361539
586,42453669,-73.923433,40.868686,-8229118.919250676,4992992.130391992
587,42453638,-73.9269852,40.867956299999996,-8229514.348345873,4992884.714123118
588,42453630,-74.003236,40.748974,-8238002.548574451,4975385.597875618
589,42453624,-73.988644,40.742814,-8236378.1745647965,4974480.47984666
590,42453613,-73.97869,40.720033,-8235270.1003534375,4971133.887436717
591,42453610,-73.98108140000002,40.7210227,-8235536.309783722,4971279.253322551
592,42453607,-73.98344399999998,40.722019,-8235799.31321267,4971425.590791129
593,42453604,-73.985752,40.72300900000001,-8236056.238597423,4971571.005079558
594,42453601,-73.98796800000002,40.723942,-8236302.922589021,4971708.049009887
595,42453591,-73.931475,40.856851,-8230014.150595636,4991250.0926212035
596,42453586,-73.9282354,40.8571635,-8229653.519973261,4991296.086660335
597,42453577,-73.9514628,40.787794299999995,-8232239.182313712,4981091.5790741285
598,42453575,-73.954817,40.789204999999995,-8232612.570149733,4981298.99285383
599,42453555,-73.99871390000001,40.764329499999995,-8237499.150705135,4977642.219435324
600,42453545,-74.00163719999998,40.7613201,-8237824.57097257,4977199.9213944115
601,42453477,-74.00957740000003,40.73814539999999,-8238708.469993369,4973794.556136277
602,42453472,-74.009834,40.7369494,-8238737.034574702,4973618.844232185
603,42453468,-74.01004,40.7345431,-8238759.96638981,4973265.329092031
