,start,end,street_name,delay8pm,delay5pm
5420,42435684,42428308,West50thStreet,61.07951901730242,83.64855443311858
5421,42428310,42428308,Broadway,20.60238821621945,33.52241509455702
5422,42435635,42435636,8thAvenue,14.818655886847367,28.513076660054512
5423,42435422,42435636,West31stStreet,94.42961755883968,142.227964466307
5424,42435635,42435420,West30thStreet,66.8403588973333,82.66163640850941
5425,42435422,42435420,PennPlaza,14.101817233473813,15.972768387663471
5426,42435451,42435456,MulberryStreet,42.391379265255274,51.87128135070282
5427,42432250,42435456,HesterStreet,28.460480330769247,35.224435341386524
5428,42435380,42442580,West121stStreet,14.658955451713386,22.396631496062998
5429,42435354,42442580,AmsterdamAvenue,15.576866048338358,18.17652375849057
5430,42429714,42442580,AmsterdamAvenue,11.504002281789136,14.970005685156375
5431,42435380,42429712,MorningsideDrive,10.988656264454509,11.775574878112035
5432,42435372,42429712,MorningsideDrive,8.465946330005874,10.846355827439888
5433,42429714,42429712,West120thStreet,19.815230133196717,20.468482515779986
5434,42435680,42432589,8thAvenue,14.538991008233154,15.363850382960212
5435,42428307,42432589,West49thStreet,62.16418186086082,92.49496080258557
5436,42435680,42428305,West48thStreet,62.04054416268258,84.91354392667327
5437,42428307,42428305,Broadway,24.30051823977261,41.77208603034165
5438,42435354,42435380,MorningsideDrive,24.865442152317886,26.118362717143558
5439,42429712,42435380,MorningsideDrive,9.55168514890282,12.62801209085252
5440,42435310,42434156,CentralParkWest,12.312717555410245,13.285011283241316
5441,42435312,42434156,CentralParkWest,12.961295742119091,18.896694848115988
5442,42435310,42424851,CentralParkWest,13.48935523791924,17.36944051378063
5443,42421800,42424851,CentralParkWest,11.753311453023493,12.559421598726358
5444,42435904,42424583,FrederickDouglassBoulevard,8.290110083565455,11.224197694369977
5445,42435541,42435544,DelanceyStreet,16.07975195555556,15.01244361285267
5446,42429812,42435544,ColumbiaStreet,14.057753094462536,13.999575873949585
5447,42435541,42429811,SheriffStreet,22.31750481012659,13.522697777777774
5448,42429812,42429811,DelanceyStreet,12.529670682286111,11.522403424498696
5449,42435538,42435541,DelanceyStreet,16.761824083526676,16.662693363095244
5450,42435538,42432089,BialystokerPlace,11.339120758177927,11.49905464039161
5451,42431611,42445356,ChurchStreet,13.327878764364051,17.479895900073963
5452,42428402,42445356,ReadeStreet,35.435624911473454,44.76032926385446
5453,42431602,42443588,ElkStreet,8.942313536701624,11.71730533914729
5454,42427278,42443588,ReadeStreet,12.509704314685314,19.418308371414682
5455,42435211,42443817,MadisonAvenue,9.159614738173868,11.40957012876775
5456,42429552,42443817,East120thStreet,32.065414311878584,35.91648217568946
5457,42435211,42435207,East119thStreet,24.173824646718174,29.488374827586185
5458,42429552,42435207,5thAvenue,10.272951163136373,12.791698292340119
5459,42435472,42435477,MulberryStreet,40.02660324638647,39.70425244574971
5460,42432305,42435477,PrinceStreet,23.136491078402265,24.71421634763816
5461,42435472,42432302,SpringStreet,31.24657898846497,27.13070999999998
5462,42432305,42432302,MottStreet,64.90026687925786,72.02574139899463
5463,42435002,42449801,HavenAvenue,20.345672601351346,22.21149538461539
5464,42435448,42432244,BayardStreet,29.86877188122096,28.04505353083852
5465,42432246,42432244,MottStreet,60.112992492211866,55.81481532634033
5466,42433644,42423885,10thAvenue,11.277117731259628,16.642328456494738
5467,42435534,42427340,DelanceyStreet,26.460709427207647,24.76170700204813
5468,42427337,42427340,PittStreet,8.752057033979044,7.941284344847014
5469,42435337,42421728,CentralParkWest,12.56969372299342,12.770909629310946
5470,42432736,42421728,CentralParkWest,11.49756326210826,14.509633312720853
5471,42421731,42421728,West106thStreet,23.45752073914384,28.619993102157625
5472,42435264,42424427,CentralParkWest,13.070321884859164,14.561904110386156
5473,42435265,42424427,CentralParkWest,14.048431225138321,19.23490509622629
5474,42435470,42432282,GrandStreet,28.67506124275558,32.80373103337827
5475,42432178,42432282,MottStreet,37.88485023728817,58.34411265097235
5476,42435470,42432174,MulberryStreet,55.588961726128026,52.586802403922576
5477,42432178,42432174,BroomeStreet,25.75219412506783,33.589262942688634
5478,42435308,42437300,West83rdStreet,44.33510784248842,53.126961707317115
5479,42421803,42437300,ColumbusAvenue,9.996763859120751,11.24334382259139
5480,42435308,42421800,CentralParkWest,11.178344420899956,11.69038167889107
5481,42424851,42421800,CentralParkWest,11.057321908920072,12.808682037429387
5482,42421803,42421800,West84thStreet,41.291106608187114,47.112906287202385
5483,42435367,42435372,MorningsideDrive,10.204020155189133,12.315516577689252
5484,42429712,42435372,MorningsideDrive,9.928230347011848,10.124226243781095
5485,42435230,42439489,LexingtonAvenue,9.173184476273773,11.477981913285596
5486,42435230,42435222,East119thStreet,27.199679469879502,32.65646204669646
5487,42435341,42432736,CentralParkWest,12.052060205655536,14.660102293233075
5488,42421728,42432736,CentralParkWest,13.75093449132304,13.845302379705512
