name,lon,lat,x,y
42466984,-73.9345032,40.6802215,-8230351.248277655,4965288.215524382
42466982,-73.93471559999998,40.6812878,-8230374.892537498,4965444.738833985
42466980,-73.9348632,40.6820289,-8230391.323294342,4965553.527165059
42466978,-73.93500920000002,40.682762,-8230407.575939997,4965661.142341764
42466977,-73.9351552,40.6834953,-8230423.828585653,4965768.788061533
42466975,-73.9353012,40.6842279,-8230440.081231307,4965876.332206524
42466974,-73.9354475,40.6849626,-8230456.367272811,4965984.185814322
42466972,-73.93559300000003,40.6856931,-8230472.564258723,4966091.424042895
42466971,-73.9357393,40.6864276,-8230488.850300224,4966199.250661111
42466970,-73.9358848,40.6871583,-8230505.047286135,4966306.520608065
42466967,-73.9360309,40.6878916,-8230521.31106374,4966414.173428799
42466966,-73.9361769,40.6886245,-8230537.563709398,4966521.768710769
42466965,-73.93632209999998,40.6893539,-8230553.727299457,4966628.851341053
42466962,-73.9364688,40.6900901,-8230570.057868759,4966736.93346245
42466960,-73.9366145,40.6908217,-8230586.277118567,4966844.341437043
42466959,-73.93676070000002,40.6915557,-8230602.552028121,4966952.102946557
42466957,-73.93690649999998,40.6922878,-8230618.782409877,4967059.58669185
42466950,-73.93705250000002,40.6930206,-8230635.035055535,4967167.17439078
42466947,-73.93719809999997,40.6937516,-8230651.2431733925,4967274.4989975365
42466943,-73.9373442,40.6944848,-8230667.506950999,4967382.147788687
42466939,-73.9374903,40.69521829999999,-8230683.770728604,4967489.841811377
42466932,-73.93763609999998,40.6959504,-8230700.001110361,4967597.33146538
42466929,-73.93778370000003,40.696691,-8230716.431867205,4967706.07032295
42466926,-73.9379301,40.6974259,-8230732.729040653,4967813.973470913
42466923,-73.9380626,40.698091,-8230747.478873185,4967911.6291217515
42466921,-73.93817220000003,40.6986415,-8230759.679489378,4967992.458961291
42466856,-73.93818900000002,40.7281,-8230761.549656822,4972318.821204126
42466853,-73.937942,40.726239,-8230734.053742596,4972045.452596843
42466772,-74.0186077,40.6510128,-8239713.718391078,4961001.612618712
1413215973,-73.95801479999999,40.6735018,-8232968.547617389,4964301.881224866
1413215971,-73.95852430000002,40.672663,-8233025.264897951,4964178.76705114
1413215965,-73.9585854,40.6717309,-8233032.066518838,4964041.960664115
42466711,-73.973093,40.706873,-8234647.04516347,4969201.168655911
1413215943,-73.9596026,40.6691192,-8233145.300704871,4963658.64584098
42466710,-73.97177109999998,40.70578620000001,-8234499.891928587,4969041.57488142
1413215937,-73.9601571,40.667334,-8233207.027362517,4963396.643672708
1413215935,-73.9607329,40.6665089,-8233271.125125315,4963275.5514935125
1413215929,-73.961294,40.6650268,-8233333.586491599,4963058.041356045
1413215926,-73.96119959999999,40.6645377,-8233323.077931668,4962986.263044119
42466688,-73.938323,40.704359,-8230776.4664685875,4968831.998201252
42466683,-73.92377900000002,40.677118,-8229157.435794491,4964832.663711071
42466682,-73.923673,40.678222,-8229145.635928465,4964994.713544952
1413215902,-73.96183,40.6607058,-8233393.253738665,4962423.927316622
42466655,-73.97954920000002,40.66085089999999,-8235365.74605993,4962445.220319856
42466517,-73.992566,40.676106,-8236814.769607686,4964684.12038743
42466514,-73.991872,40.676946,-8236737.513881076,4964807.41705828
42466513,-73.99136999999997,40.67755,-8236681.631496698,4964896.074196035
42466512,-73.99090799999998,40.678105,-8236630.201891951,4964977.539658251
42466510,-73.990426,40.678681,-8236576.545897389,4965062.088314622
42466508,-73.989985,40.679314,-8236527.45400195,4965155.00460768
42466506,-73.989559,40.679946,-8236480.031898873,4965247.774993775
42466503,-73.989129,40.680581,-8236432.164517831,4965340.986631456
42466502,-73.988699,40.681217,-8236384.297136789,4965434.345949177
42466500,-73.988272,40.681863,-8236336.763714221,4965529.174092603
42466499,-73.98785600000002,40.682494,-8236290.454806052,4965621.801231438
42466496,-73.98743,40.683126,-8236243.032702972,4965714.576043448
42466495,-73.98699599999998,40.683765,-8236194.720043967,4965808.379318952
42466492,-73.986564,40.684389,-8236146.630023946,4965899.981507529
42466491,-73.98613370000002,40.685024,-8236098.729247059,4965993.1993587185
42466481,-73.98568900000002,40.68566,-8236049.225469503,4966086.56489993
42466468,-73.985259,40.686294,-8236001.35808846,4966179.637725597
42466454,-73.984829,40.68693,-8235953.49070742,4966273.005045999
42466447,-73.9844,40.687564,-8235905.734645869,4966366.079645324
42466440,-73.98395,40.6881637,-8235855.640875013,4966454.119635655
42466438,-73.98355450000003,40.6887792,-8235811.614016403,4966544.479996032
42466432,-73.96515529999998,40.6897926,-8233763.424441397,4966693.25710146
42466431,-73.9656,40.691871,-8233812.928218955,4966998.3937796345
42466423,-73.965906,40.693433,-8233846.991983137,4967227.722355217
42466413,-73.96642990000002,40.6959277,-8233905.312264366,4967593.998548925
